         1247635 function calls (1225710 primitive calls) in 1.007 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3902    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_parse.py:161(__len__)
     3984    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_parse.py:250(match)
      830    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      462    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/copy.py:66(copy)
     1427    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:398(parent)
     1190    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
     1017    0.000    0.000    0.006    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/__init__.py:711(__setitem__)
       24    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/util.py:186(_collapse_string_to_ranges)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/axis.py:596(Axis)
      814    0.000    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
     1981    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       92    0.000    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
        2    0.000    0.000    0.001    0.001 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/json/decoder.py:343(raw_decode)
     2792    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
     1879    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_parse.py:112(__init__)
        6    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/core/getlimits.py:34(__init__)
 3538/834    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/_api/__init__.py:353(recursive_subclasses)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/holidays/calendars/islamic.py:42(_IslamicLunar)
    566/4    0.000    0.000    0.943    0.236 {built-in method builtins.__import__}
       33    0.000    0.000    0.009    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/dataclasses.py:809(_process_class)
     5422    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
     5958    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        5    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/subprocess.py:1207(_close_pipe_fds)
     3024    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/inspect.py:2830(<genexpr>)
      243    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/core.py:461(__init__)
     3637    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     5958    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      833    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:156(__enter__)
      278    0.000    0.000    0.002    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/core/overrides.py:83(verify_matching_signatures)
      276    0.000    0.000    0.007    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/util/_decorators.py:360(decorator)
   1126/1    0.000    0.000    1.007    1.007 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     1210    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
      819    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/_distutils_hack/__init__.py:89(find_spec)
     2386    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_parse.py:287(tell)
      698    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      461    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/copy.py:258(_reconstruct)
      136    0.000    0.000    0.013    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/_docstring.py:38(__call__)
      173    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/colors.py:310(_to_rgba_no_colorcycle)
        2    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/ma/core.py:2978(__array_finalize__)
     1081    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
       94    0.000    0.000    0.005    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/__init__.py:1391(_preprocess_data)
        1    0.000    0.000    0.008    0.008 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/_testing/__init__.py:1(<module>)
      160    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/lib/shape_base.py:612(column_stack)
     5981    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     6769    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
   306/12    0.000    0.000    0.002    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/core.py:809(_parseNoCache)
     1096    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
     7715    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/inspect.py:2548(name)
     4798    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/artist.py:1563(<genexpr>)
     3698    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      356    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/inspect.py:545(_finddoc)
      605    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/_utils/_inspect.py:96(getargspec)
      162    0.000    0.000    0.006    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/dataclasses.py:377(_create_fn)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
     2686    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/util.py:189(is_consecutive)
       45    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/enum.py:221(<setcomp>)
       16    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/core/_type_aliases.py:58(bitname)
      698    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      822    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        1    0.000    0.000    0.004    0.004 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/lib/polynomial.py:453(polyfit)
        1    0.000    0.000    0.000    0.000 {method 'accumulate' of 'numpy.ufunc' objects}
      220    0.000    0.000    0.005    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/typing.py:434(Union)
     1673    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      105    0.000    0.000    0.112    0.001 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/artist.py:159(_update_set_signature_and_docstring)
      425    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_parse.py:356(_escape)
      487    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/font_manager.py:928(_json_decode)
      833    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:160(__exit__)
      698    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
      723    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/core/getlimits.py:540(_init)
